ticker,name,score,score_rank,industry_code,industry_name,is_current,is_selected_final,action,reason
057050,현대홈쇼핑,-1.8338283539503608,152.0,074709,무점포 소매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
377300,카카오페이,-1.9099504206720903,154.0,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
039130,하나투어,-1.9342576386574477,155.0,147502,여행사 및 기타 여행보조 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
036460,한국가스공사,-2.006317817414087,156.0,043502,연료용 가스 제조 및 배관공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
253590,네오셈,-2.08458198120742,157.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
018290,브이티,-2.102710376217924,158.0,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
112610,씨에스윈드,-2.275136088540164,159.0,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
181710,NHN,-2.2956191836140545,160.0,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
099320,쎄트렉아이,-2.399568676722349,161.0,033103,"항공기,우주선 및 부품 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
017800,현대엘리베이터,-2.463514132813315,162.0,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
137400,피엔티,-2.5551545965856097,163.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
089970,브이엠,-2.6077512232523605,164.0,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
011200,HMM,-2.7078146023040808,165.0,085001,해상 운송업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
178320,서진시스템,-3.0188155227344247,166.0,032809,기타 전기장비 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
039200,오스코텍,-3.2199000146737085,167.0,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
082740,한화엔진,-3.491647897630571,168.0,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
