ticker,industry_code,industry_name
036710,137105,회사 본부 및 경영 컨설팅 서비스업
444530,105802,소프트웨어 개발 및 공급업
234030,032601,반도체 제조업
160980,032902,특수 목적용 기계 제조업
356890,105802,소프트웨어 개발 및 공급업
217330,137001,자연과학 및 공학 연구개발업
004770,032602,전자부품 제조업
217320,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
208640,105802,소프트웨어 개발 및 공급업
222420,032309,기타 비금속 광물제품 제조업
037760,032401,1차 철강 제조업
081180,032901,일반 목적용 기계 제조업
099320,033103,"항공기,우주선 및 부품 제조업"
049960,032101,기초 의약물질 제조업
088280,032601,반도체 제조업
403550,147601,운송장비 임대업
050890,032604,통신 및 방송 장비 제조업
394800,137001,자연과학 및 공학 연구개발업
177900,032601,반도체 제조업
475400,032902,특수 목적용 기계 제조업
109670,031401,봉제의복 제조업
066790,106002,텔레비전 방송업
222080,032902,특수 목적용 기계 제조업
004920,032605,영상 및 음향기기 제조업
236030,031005,"곡물가공품, 전분 및 전분제품 제조업"
103660,032004,기타 화학제품 제조업
352480,032004,기타 화학제품 제조업
245450,032604,통신 및 방송 장비 제조업
264660,032902,특수 목적용 기계 제조업
352700,032005,화학섬유 제조업
458870,032701,의료용 기기 제조업
297090,032901,일반 목적용 기계 제조업
112610,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
900120,116409,기타 금융업
359090,137309,"그외 기타 전문, 과학 및 기술 서비스업"
115530,032602,전자부품 제조업
388210,032602,전자부품 제조업
115480,032701,의료용 기기 제조업
376290,032602,전자부품 제조업
189330,105802,소프트웨어 개발 및 공급업
096530,032103,의료용품 및 기타 의약 관련제품 제조업
480370,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
101240,032001,기초 화학물질 제조업
060590,032102,의약품 제조업
308170,033003,자동차 신품 부품 제조업
260930,032004,기타 화학제품 제조업
413630,032202,플라스틱제품 제조업
013990,074604,생활용품 도매업
123860,032601,반도체 제조업
025980,095501,일반 및 생활 숙박시설 운영업
008700,032605,영상 및 음향기기 제조업
125210,032602,전자부품 제조업
090430,032004,기타 화학제품 제조업
002790,032004,기타 화학제품 제조업
357580,032602,전자부품 제조업
052710,032602,전자부품 제조업
074430,032101,기초 의약물질 제조업
092040,031008,기타 식품 제조업
083930,032902,특수 목적용 기계 제조업
149950,032602,전자부품 제조업
036010,032602,전자부품 제조업
002030,137105,회사 본부 및 경영 컨설팅 서비스업
183190,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
002310,031702,"골판지, 종이 상자 및 종이용기 제조업"
050860,032902,특수 목적용 기계 제조업
012170,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
136410,032202,플라스틱제품 제조업
246720,032103,의료용품 및 기타 의약 관련제품 제조업
450950,032701,의료용 기기 제조업
067390,033103,"항공기,우주선 및 부품 제조업"
159010,032901,일반 목적용 기계 제조업
127710,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
267850,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
020560,085101,항공 여객 운송업
154030,010101,작물 재배업
227610,032004,기타 화학제품 제조업
331740,105802,소프트웨어 개발 및 공급업
143160,032604,통신 및 방송 장비 제조업
054800,137106,기타 전문 서비스업
332370,032603,컴퓨터 및 주변장치 제조업
066430,074607,기타 전문 도매업
122900,074608,상품 종합 도매업
339950,168505,일반 교습 학원
469750,032902,특수 목적용 기계 제조업
