account,source_file
퇴직급여,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산손상차손,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산처분이익,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
외화환산손실,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
외화환산이익,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
감가상각비,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
유형자산처분이익,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
무형자산상각비,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
대손상각비,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
대손상각비의 환입,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
주식보상비용,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
하자보수비의 환입,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
지분법손실,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
무형자산손상차손환입,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타의대손상각비,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
지분법적용투자주식손상차손,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
운전자본의 변동,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
퇴직금지급,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
퇴직보험예치금,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
영업에서 창출된 현금,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
법인세납부,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
투자활동현금흐름,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
투자활동으로인한현금유입액,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
이자수취,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타유동금융자산의 감소,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타비유동금융자산의 감소,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
단기매매금융자산의 처분,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(유동)의 처분,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(비유동)의 처분,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
유형자산의 처분,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
무형자산의 처분,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
보증금의 감소,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
단기대여금의 감소,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
