ticker,industry4,industry_name,name,market,asof
051910,20111,기초 화학물질 제조업,,,2025-11-16
052400,58221,소프트웨어 개발 및 공급업,,,2025-11-16
052690,72129,"건축기술, 엔지니어링 및 관련 기술 서비스업",,,2025-11-16
053610,29271,특수 목적용 기계 제조업,,,2025-11-16
053800,58221,소프트웨어 개발 및 공급업,,,2025-11-16
055550,64992,기타 금융업,,,2025-11-16
056080,292,특수 목적용 기계 제조업,,,2025-11-16
056190,292,특수 목적용 기계 제조업,,,2025-11-16
058470,2629,전자부품 제조업,,,2025-11-16
058610,28111,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",,,2025-11-16
059090,261,반도체 제조업,,,2025-11-16
060250,661,금융 지원 서비스업,,,2025-11-16
060280,47812,기타 상품 전문 소매업,,,2025-11-16
060370,423,전기 및 통신 공사업,,,2025-11-16
064260,582,소프트웨어 개발 및 공급업,,,2025-11-16
064400,62021,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,2025-11-16
064760,23999,기타 비금속 광물제품 제조업,,,2025-11-16
064960,303,자동차 신품 부품 제조업,,,2025-11-16
065350,28519,가정용 기기 제조업,,,2025-11-16
066570,264,통신 및 방송 장비 제조업,,,2025-11-16
067160,582,소프트웨어 개발 및 공급업,,,2025-11-16
067310,2611,반도체 제조업,,,2025-11-16
068760,212,의약품 제조업,,,2025-11-16
069260,2049,기타 화학제품 제조업,,,2025-11-16
069620,212,의약품 제조업,,,2025-11-16
069960,47111,종합 소매업,,,2025-11-16
071050,64992,기타 금융업,,,2025-11-16
071320,35300,"증기, 냉·온수 및 공기조절 공급업",,,2025-11-16
071970,29119,일반 목적용 기계 제조업,,,2025-11-16
073240,221,고무제품 제조업,,,2025-11-16
074600,2312,유리 및 유리제품 제조업,,,2025-11-16
077970,29111,일반 목적용 기계 제조업,,,2025-11-16
078160,211,기초 의약물질 제조업,,,2025-11-16
078600,2629,전자부품 제조업,,,2025-11-16
078930,64992,기타 금융업,,,2025-11-16
079160,59141,"영화, 비디오물, 방송프로그램 제작 및 배급업",,,2025-11-16
079370,29271,특수 목적용 기계 제조업,,,2025-11-16
080220,2611,반도체 제조업,,,2025-11-16
082270,29271,특수 목적용 기계 제조업,,,2025-11-16
082920,28201,일차전지 및 이차전지 제조업,,,2025-11-16
083450,29271,특수 목적용 기계 제조업,,,2025-11-16
083650,29176,일반 목적용 기계 제조업,,,2025-11-16
084370,29271,특수 목적용 기계 제조업,,,2025-11-16
085660,211,기초 의약물질 제조업,,,2025-11-16
086280,5299,기타 운송관련 서비스업,,,2025-11-16
086450,212,의약품 제조업,,,2025-11-16
086520,64992,기타 금융업,,,2025-11-16
086790,64992,기타 금융업,,,2025-11-16
086900,211,기초 의약물질 제조업,,,2025-11-16
089010,204,기타 화학제품 제조업,,,2025-11-16
089970,29271,특수 목적용 기계 제조업,,,2025-11-16
090430,20423,기타 화학제품 제조업,,,2025-11-16
090710,29280,특수 목적용 기계 제조업,,,2025-11-16
093370,20129,기초 화학물질 제조업,,,2025-11-16
095340,465,기계장비 및 관련 물품 도매업,,,2025-11-16
095610,29271,특수 목적용 기계 제조업,,,2025-11-16
096770,192,석유 정제품 제조업,,,2025-11-16
097230,41221,토목 건설업,,,2025-11-16
097950,108,기타 식품 제조업,,,2025-11-16
098460,29271,특수 목적용 기계 제조업,,,2025-11-16
099320,3131,"항공기,우주선 및 부품 제조업",,,2025-11-16
100790,649,기타 금융업,,,2025-11-16
100840,29176,일반 목적용 기계 제조업,,,2025-11-16
101490,2629,전자부품 제조업,,,2025-11-16
102710,2049,기타 화학제품 제조업,,,2025-11-16
103140,242,1차 비철금속 제조업,,,2025-11-16
103590,2830,절연선 및 케이블 제조업,,,2025-11-16
105560,64992,기타 금융업,,,2025-11-16
105630,14199,봉제의복 제조업,,,2025-11-16
108490,29299,특수 목적용 기계 제조업,,,2025-11-16
111770,46800,상품 종합 도매업,,,2025-11-16
112040,5821,소프트웨어 개발 및 공급업,,,2025-11-16
114090,91249,유원지 및 기타 오락관련 서비스업,,,2025-11-16
117730,29271,특수 목적용 기계 제조업,,,2025-11-16
120110,205,화학섬유 제조업,,,2025-11-16
126340,282,일차전지 및 이차전지 제조업,,,2025-11-16
178920,2221,플라스틱제품 제조업,,,2025-11-16
192080,5821,소프트웨어 개발 및 공급업,,,2025-11-16
192650,2629,전자부품 제조업,,,2025-11-16
195940,212,의약품 제조업,,,2025-11-16
204270,262,전자부품 제조업,,,2025-11-16
226950,70113,자연과학 및 공학 연구개발업,,,2025-11-16
247540,28202,일차전지 및 이차전지 제조업,,,2025-11-16
248070,2629,전자부품 제조업,,,2025-11-16
251970,22232,플라스틱제품 제조업,,,2025-11-16
252990,2629,전자부품 제조업,,,2025-11-16
253590,292,특수 목적용 기계 제조업,,,2025-11-16
257720,46800,상품 종합 도매업,,,2025-11-16
259960,5821,소프트웨어 개발 및 공급업,,,2025-11-16
272210,26299,전자부품 제조업,,,2025-11-16
277810,29280,특수 목적용 기계 제조업,,,2025-11-16
278280,201,기초 화학물질 제조업,,,2025-11-16
287840,70113,자연과학 및 공학 연구개발업,,,2025-11-16
290650,212,의약품 제조업,,,2025-11-16
293490,5821,소프트웨어 개발 및 공급업,,,2025-11-16
294870,411,건물 건설업,,,2025-11-16
298020,2050,화학섬유 제조업,,,2025-11-16
298040,281,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",,,2025-11-16
298050,205,화학섬유 제조업,,,2025-11-16
298380,211,기초 의약물질 제조업,,,2025-11-16
302440,211,기초 의약물질 제조업,,,2025-11-16
307950,582,소프트웨어 개발 및 공급업,,,2025-11-16
316140,64992,기타 금융업,,,2025-11-16
319400,291,일반 목적용 기계 제조업,,,2025-11-16
319660,29271,특수 목적용 기계 제조업,,,2025-11-16
322000,2612,반도체 제조업,,,2025-11-16
323280,292,특수 목적용 기계 제조업,,,2025-11-16
323410,64121,은행 및 저축기관,,,2025-11-16
326030,7011,자연과학 및 공학 연구개발업,,,2025-11-16
329180,31113,선박 및 보트 건조업,,,2025-11-16
336260,28111,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",,,2025-11-16
336370,26299,전자부품 제조업,,,2025-11-16
336570,271,의료용 기기 제조업,,,2025-11-16
347700,58222,소프트웨어 개발 및 공급업,,,2025-11-16
348210,29271,특수 목적용 기계 제조업,,,2025-11-16
352820,592,오디오물 출판 및 원판 녹음업,,,2025-11-16
353200,2622,전자부품 제조업,,,2025-11-16
356860,2622,전자부품 제조업,,,2025-11-16
357780,204,기타 화학제품 제조업,,,2025-11-16
361610,282,일차전지 및 이차전지 제조업,,,2025-11-16
368770,27219,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",,,2025-11-16
375500,412,토목 건설업,,,2025-11-16
376900,21309,의료용품 및 기타 의약 관련제품 제조업,,,2025-11-16
383220,14111,봉제의복 제조업,,,2025-11-16
383310,204,기타 화학제품 제조업,,,2025-11-16
383800,64992,기타 금융업,,,2025-11-16
456160,21212,의약품 제조업,,,2025-11-16
475830,211,기초 의약물질 제조업,,,2025-11-16
475960,27309,사진장비 및 광학기기 제조업,,,2025-11-16
476060,701,자연과학 및 공학 연구개발업,,,2025-11-16
476830,70113,자연과학 및 공학 연구개발업,,,2025-11-16
483650,20423,기타 화학제품 제조업,,,2025-11-16
484870,292,특수 목적용 기계 제조업,,,2025-11-16
499790,64992,기타 금융업,,,2025-11-16
