industry4,industry_name,source,n,name_candidates,has_conflict,asof
47859,기타 상품 전문 소매업,KIND+local_code_join,1,1,False,2025-11-16
50112,해상 운송업,KIND+local_code_join,3,1,False,2025-11-16
58221,소프트웨어 개발 및 공급업,KIND+local_code_join,2,1,False,2025-11-16
58222,소프트웨어 개발 및 공급업,KIND+local_code_join,1,1,False,2025-11-16
59141,"영화, 비디오물, 방송프로그램 제작 및 배급업",KIND+local_code_join,1,1,False,2025-11-16
59201,오디오물 출판 및 원판 녹음업,KIND+local_code_join,2,1,False,2025-11-16
61220,전기 통신업,KIND+local_code_join,2,1,False,2025-11-16
62021,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KIND+local_code_join,1,1,False,2025-11-16
62022,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KIND+local_code_join,1,1,False,2025-11-16
63120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",KIND+local_code_join,1,1,False,2025-11-16
64121,은행 및 저축기관,KIND+local_code_join,3,1,False,2025-11-16
64913,기타 금융업,KIND+local_code_join,1,1,False,2025-11-16
64992,기타 금융업,KIND+local_code_join,27,1,False,2025-11-16
65121,보험업,KIND+local_code_join,5,1,False,2025-11-16
65200,재 보험업,KIND+local_code_join,1,1,False,2025-11-16
66121,금융 지원 서비스업,KIND+local_code_join,13,1,False,2025-11-16
70113,자연과학 및 공학 연구개발업,KIND+local_code_join,3,1,False,2025-11-16
71310,광고업,KIND+local_code_join,1,1,False,2025-11-16
72129,"건축기술, 엔지니어링 및 관련 기술 서비스업",KIND+local_code_join,2,1,False,2025-11-16
75210,여행사 및 기타 여행보조 서비스업,KIND+local_code_join,1,1,False,2025-11-16
75320,"경비, 경호 및 탐정업",KIND+local_code_join,1,1,False,2025-11-16
91249,유원지 및 기타 오락관련 서비스업,KIND+local_code_join,2,1,False,2025-11-16
