11:18:15 [INFO] universe=data\processed\universe__asof=2026-02-18__metric=revenue_op__v=1.csv rows=474
11:18:16 [INFO] corp_codes rows=3913
11:18:16 [CHECK] corp_code missing ratio=0.000
11:18:16 [INFO] year range 2016..2025
12:12:46 [255/474] 083650 None corp=00409788
12:13:00 [256/474] 084370 None corp=00531014
12:13:15 [257/474] 085620 None corp=00112332
12:13:27 [258/474] 085660 None corp=00525679
12:13:42 [259/474] 086280 None corp=00360595
12:13:55 [260/474] 086450 None corp=00114808
12:14:08 [261/474] 086520 None corp=00536541
12:14:22 [262/474] 086790 None corp=00547583
12:14:34 [263/474] 086900 None corp=00580199
12:14:49 [264/474] 087010 None corp=00415868
12:15:01 [265/474] 088350 None corp=00113058
12:15:13 [266/474] 089010 None corp=00371485
12:15:27 [267/474] 089030 None corp=00535676
12:15:41 [268/474] 089970 None corp=00544577
12:15:53 [269/474] 090360 None corp=00536523
12:16:06 [270/474] 090430 None corp=00583424
12:16:19 [271/474] 090460 None corp=00447609
12:16:32 [272/474] 090710 None corp=00540429
12:16:45 [273/474] 093370 None corp=00595191
12:16:59 [274/474] 094170 None corp=00695969
12:17:11 [275/474] 095340 None corp=00572905
12:17:26 [276/474] 095610 None corp=00524421
12:17:40 [277/474] 096530 None corp=00788773
12:17:53 [278/474] 096770 None corp=00631518
12:18:06 [279/474] 097230 None corp=00633835
12:18:19 [280/474] 097950 None corp=00635134
12:18:32 [281/474] 098460 None corp=00579999
12:18:45 [282/474] 099190 None corp=00550994
12:18:58 [283/474] 099320 None corp=00449254
12:19:12 [284/474] 100090 None corp=00480367
12:19:25 [285/474] 100790 None corp=00340096
12:19:37 [286/474] 100840 None corp=00648721
12:19:49 [287/474] 101490 None corp=00411048
12:20:01 [288/474] 102710 None corp=00530185
12:20:14 [289/474] 103140 None corp=00684714
12:20:28 [290/474] 103590 None corp=00683469
12:20:41 [291/474] 104830 None corp=00623661
12:20:54 [292/474] 105560 None corp=00688996
12:21:07 [293/474] 105630 None corp=00728638
12:21:20 [294/474] 105840 None corp=00173944
12:21:32 [295/474] 108320 None corp=00525934
12:21:45 [296/474] 108490 None corp=00946030
12:21:58 [297/474] 111770 None corp=00776820
12:22:11 [298/474] 112040 None corp=00444329
12:22:24 [299/474] 112610 None corp=00670340
12:22:37 [300/474] 114090 None corp=00557508
12:22:49 [301/474] 114810 None corp=00625942
12:23:02 [302/474] 115180 None corp=01042650
12:23:15 [303/474] 117730 None corp=00867098
12:23:27 [304/474] 119850 None corp=00626464
12:23:40 [305/474] 120110 None corp=00795135
12:23:53 [306/474] 121600 None corp=00439965
12:24:07 [307/474] 122640 None corp=00530556
12:24:20 [308/474] 122870 None corp=00613318
12:24:33 [309/474] 124500 None corp=00620868
12:24:46 [310/474] 126340 None corp=00563518
12:24:58 [311/474] 127120 None corp=00642541
12:25:11 [312/474] 128940 None corp=00828497
12:25:25 [313/474] 130660 None corp=00194947
12:25:37 [314/474] 131290 None corp=00372226
12:25:50 [315/474] 131970 None corp=00563545
12:26:03 [316/474] 137400 None corp=00612294
12:26:16 [317/474] 138040 None corp=00860332
12:26:28 [318/474] 138930 None corp=00858364
12:26:40 [319/474] 139130 None corp=00878915
12:26:52 [320/474] 139480 None corp=00872984
12:27:06 [321/474] 140410 None corp=00808022
12:27:19 [322/474] 140860 None corp=00244747
12:27:32 [323/474] 141080 None corp=00842619
12:27:44 [324/474] 145020 None corp=00888347
12:27:57 [325/474] 145720 None corp=00526599
12:28:10 [326/474] 160190 None corp=00650771
12:28:22 [327/474] 161390 None corp=00937324
12:28:35 [328/474] 161580 None corp=00938721
12:28:48 [329/474] 161890 None corp=00939331
12:29:01 [330/474] 166090 None corp=00660750
12:29:13 [331/474] 171090 None corp=00327819
12:29:26 [332/474] 174900 None corp=00991191
12:29:38 [333/474] 175330 None corp=00980122
12:29:50 [334/474] 178320 None corp=00838005
12:30:04 [335/474] 178920 None corp=00767460
12:30:16 [336/474] 180640 None corp=00983040
12:30:29 [337/474] 181710 None corp=00983271
12:30:42 [338/474] 183300 None corp=00997812
12:30:55 [339/474] 185750 None corp=00992871
12:31:08 [340/474] 189300 None corp=00664181
12:31:20 [341/474] 192080 None corp=01010110
12:31:33 [342/474] 192650 None corp=00415646
12:31:46 [343/474] 192820 None corp=01009789
12:31:59 [344/474] 195870 None corp=01032413
12:32:12 [345/474] 195940 None corp=01012066
12:32:24 [346/474] 196170 None corp=00989619
12:32:37 [347/474] 200710 None corp=00657002
12:32:50 [348/474] 204270 None corp=00447575
12:33:02 [349/474] 204320 None corp=01042775
12:33:16 [350/474] 206650 None corp=00927558
12:33:28 [351/474] 207940 None corp=00877059
12:33:40 [352/474] 211050 None corp=01013694
12:33:52 [353/474] 213420 None corp=01061558
12:34:05 [354/474] 214150 None corp=01061327
12:34:18 [355/474] 214320 None corp=00565154
12:34:31 [356/474] 214370 None corp=00549891
12:34:44 [357/474] 214430 None corp=00612489
12:34:56 [358/474] 214450 None corp=00970453
12:35:09 [359/474] 215600 None corp=00919966
12:35:22 [360/474] 218410 None corp=01078178
12:35:35 [361/474] 222080 None corp=01090471
12:35:48 [362/474] 222800 None corp=01095722
12:36:01 [363/474] 225570 None corp=01096341
12:36:13 [364/474] 226950 None corp=01113718
12:36:26 [365/474] 229640 None corp=01093007
12:36:39 [366/474] 232140 None corp=01109539
12:36:52 [367/474] 237690 None corp=00871833
12:37:05 [368/474] 240810 None corp=01135941
12:37:18 [369/474] 241560 None corp=01032486
12:37:31 [370/474] 241710 None corp=00763473
12:37:44 [371/474] 247540 None corp=01160363
12:37:57 [372/474] 248070 None corp=01159233
12:38:09 [373/474] 249420 None corp=01168383
12:38:22 [374/474] 251270 None corp=00904672
12:38:35 [375/474] 251970 None corp=00761059
12:38:47 [376/474] 252990 None corp=01199727
12:38:59 [377/474] 253450 None corp=01168684
12:39:12 [378/474] 253590 None corp=01170865
12:39:24 [379/474] 257720 None corp=00982023
12:39:37 [380/474] 259960 None corp=00760971
12:39:49 [381/474] 263750 None corp=01152470
12:40:02 [382/474] 267250 None corp=01205709
12:40:15 [383/474] 267260 None corp=01205851
12:40:28 [384/474] 267270 None corp=01205842
12:40:41 [385/474] 271560 None corp=01238169
12:40:54 [386/474] 272210 None corp=00339391
12:41:07 [387/474] 272290 None corp=01237540
12:41:19 [388/474] 277810 None corp=01261644
12:41:32 [389/474] 278280 None corp=00897752
12:41:44 [390/474] 278470 None corp=01190568
12:41:57 [391/474] 280360 None corp=01258507
12:42:10 [392/474] 281740 None corp=01255652
12:42:22 [393/474] 281820 None corp=01261893
12:42:34 [394/474] 282330 None corp=01263022
12:42:47 [395/474] 285130 None corp=01267170
12:43:00 [396/474] 287840 None corp=01374443
12:43:12 [397/474] 290650 None corp=01181515
12:43:24 [398/474] 293490 None corp=01137383
12:43:37 [399/474] 294870 None corp=01310269
12:43:49 [400/474] 295310 None corp=01011368
12:44:01 [401/474] 298020 None corp=01316227
12:44:14 [402/474] 298040 None corp=01316245
12:44:27 [403/474] 298050 None corp=01316254
12:44:39 [404/474] 298380 None corp=01256864
12:44:51 [405/474] 302440 None corp=01319899
12:45:03 [406/474] 307950 None corp=00362441
12:45:16 [407/474] 310210 None corp=01327746
12:45:28 [408/474] 316140 None corp=01350869
12:45:40 [409/474] 319400 None corp=01358463
12:45:53 [410/474] 319660 None corp=01365825
12:46:05 [411/474] 322000 None corp=01199550
12:46:18 [412/474] 323280 None corp=01366000
12:46:30 [413/474] 323410 None corp=01133217
12:46:42 [414/474] 326030 None corp=00878696
12:46:54 [415/474] 328130 None corp=01397620
12:47:06 [416/474] 329180 None corp=01390344
12:47:19 [417/474] 336260 None corp=01412725
12:47:31 [418/474] 336370 None corp=01412822
12:47:43 [419/474] 336570 None corp=01407909
12:48:08 [WARN] finstate_all corp=01407909 year=2019 reprt=11014 fs=CFS try=1/4 err=ConnectTimeout: HTTPSConnectionPool(host='opendart.fss.or.kr', port=443): Max retries exceeded with url: /api/fnlttSinglAcntAll.json?crtfc_key=75a12698fc0c7458be36a673011d7c3479f890ed&corp_code=01407909&bsns_year=2019&reprt_code=11014&fs_div=CFS (Caused by ConnectTimeoutError(<HTTPSConnection(host='opendart.fss.or.kr', port=443) at 0x16ea025f050>, 'Connection to opendart.fss.or.kr timed out. (connect timeout=None)'))
12:48:17 [420/474] 347700 None corp=01336762
12:48:29 [421/474] 347850 None corp=01376715
12:48:42 [422/474] 348210 None corp=01080252
12:48:54 [423/474] 348340 None corp=01336461
12:49:06 [424/474] 348370 None corp=01011526
12:49:18 [425/474] 352820 None corp=01204056
12:49:31 [426/474] 353200 None corp=01478712
12:49:43 [427/474] 356860 None corp=00920379
12:49:55 [428/474] 357780 None corp=01489648
12:50:08 [429/474] 358570 None corp=01351080
12:50:20 [430/474] 361610 None corp=01386916
12:50:32 [431/474] 365340 None corp=01274329
12:50:44 [432/474] 368770 None corp=01513440
12:50:56 [433/474] 372320 None corp=01492651
12:51:08 [434/474] 373220 None corp=01515323
12:51:21 [435/474] 375500 None corp=01524093
12:51:33 [436/474] 376300 None corp=01456011
12:51:45 [437/474] 376900 None corp=01335143
12:51:57 [438/474] 377300 None corp=01244601
12:52:10 [439/474] 383220 None corp=01568413
12:52:22 [440/474] 383310 None corp=01566248
12:52:34 [441/474] 383800 None corp=01562589
12:52:46 [442/474] 388720 None corp=01152586
12:52:58 [443/474] 389470 None corp=01516456
12:53:10 [444/474] 389650 None corp=01385050
12:53:22 [445/474] 397030 None corp=01375822
12:53:34 [446/474] 399720 None corp=01364747
12:53:46 [447/474] 402340 None corp=01596425
12:53:58 [448/474] 403870 None corp=01288827
12:54:10 [449/474] 417200 None corp=01528141
12:54:22 [450/474] 420770 None corp=00765569
12:54:34 [451/474] 425420 None corp=01035368
12:54:46 [452/474] 437730 None corp=00262266
12:54:58 [453/474] 440110 None corp=01292291
12:55:11 [454/474] 443060 None corp=01194689
12:55:23 [455/474] 445680 None corp=01498974
12:55:35 [456/474] 450080 None corp=01311408
12:55:47 [457/474] 454910 None corp=01105153
12:55:59 [458/474] 455900 None corp=01592049
12:56:11 [459/474] 456040 None corp=01760738
12:56:23 [460/474] 456160 None corp=01577952
12:56:35 [461/474] 457190 None corp=01762569
12:56:47 [462/474] 458870 None corp=01514227
12:56:59 [463/474] 460930 None corp=00667373
12:57:11 [464/474] 466100 None corp=01784914
12:57:23 [465/474] 475150 None corp=01817081
12:57:35 [466/474] 475830 None corp=01658831
12:57:47 [467/474] 475960 None corp=01573336
12:57:59 [468/474] 476060 None corp=01632912
12:58:11 [469/474] 476830 None corp=01596920
12:58:22 [470/474] 483650 None corp=01649204
12:58:35 [471/474] 484870 None corp=01519790
12:58:46 [472/474] 489790 None corp=01867758
12:58:58 [473/474] 499790 None corp=01882845
12:59:10 [474/474] 950160 None corp=01245062
12:59:22 [OK] saved: data\processed\fundamentals_quarterly__asof=2026-02-18__src=dart__fs=CFS__y=2016-2025__v=1.parquet rows=10128 tickers_ok=474 skipped=0 err=0
12:59:22 [CHECK] quarter coverage:
12:59:22   - (2016, 2): 268
12:59:22   - (2016, 3): 270
12:59:22   - (2016, 4): 279
12:59:22   - (2017, 2): 289
12:59:22   - (2017, 3): 293
12:59:22   - (2017, 4): 301
12:59:22   - (2018, 2): 304
