23:27:28 [INFO] universe=data\processed\universe__asof=2026-02-18__metric=revenue_op__v=1.parquet rows=474
23:27:28 [INFO] corp_codes rows=3913
23:27:28 [CHECK] corp_code missing ratio=0.000
23:27:28 [INFO] year range 2016..2025
00:07:15 [361/474] 222080 None corp=01090471
00:07:21 [362/474] 222800 None corp=01095722
00:07:27 [363/474] 225570 None corp=01096341
00:07:33 [364/474] 226950 None corp=01113718
00:07:40 [365/474] 229640 None corp=01093007
00:07:46 [366/474] 232140 None corp=01109539
00:07:52 [367/474] 237690 None corp=00871833
00:07:59 [368/474] 240810 None corp=01135941
00:08:05 [369/474] 241560 None corp=01032486
00:08:12 [370/474] 241710 None corp=00763473
00:08:18 [371/474] 247540 None corp=01160363
00:08:25 [372/474] 248070 None corp=01159233
00:08:31 [373/474] 249420 None corp=01168383
00:08:38 [374/474] 251270 None corp=00904672
00:08:44 [375/474] 251970 None corp=00761059
00:08:50 [376/474] 252990 None corp=01199727
00:08:56 [377/474] 253450 None corp=01168684
00:09:03 [378/474] 253590 None corp=01170865
00:09:09 [379/474] 257720 None corp=00982023
00:09:15 [380/474] 259960 None corp=00760971
00:09:21 [381/474] 263750 None corp=01152470
00:09:28 [382/474] 267250 None corp=01205709
00:09:34 [383/474] 267260 None corp=01205851
00:09:40 [384/474] 267270 None corp=01205842
00:09:46 [385/474] 271560 None corp=01238169
00:09:53 [386/474] 272210 None corp=00339391
00:09:59 [387/474] 272290 None corp=01237540
00:10:05 [388/474] 277810 None corp=01261644
00:10:12 [389/474] 278280 None corp=00897752
00:10:18 [390/474] 278470 None corp=01190568
00:10:24 [391/474] 280360 None corp=01258507
00:10:31 [392/474] 281740 None corp=01255652
00:10:37 [393/474] 281820 None corp=01261893
00:10:43 [394/474] 282330 None corp=01263022
00:10:49 [395/474] 285130 None corp=01267170
00:10:55 [396/474] 287840 None corp=01374443
00:11:01 [397/474] 290650 None corp=01181515
00:11:07 [398/474] 293490 None corp=01137383
00:11:14 [399/474] 294870 None corp=01310269
00:11:20 [400/474] 295310 None corp=01011368
00:11:26 [401/474] 298020 None corp=01316227
00:11:32 [402/474] 298040 None corp=01316245
00:11:38 [403/474] 298050 None corp=01316254
00:11:44 [404/474] 298380 None corp=01256864
00:11:50 [405/474] 302440 None corp=01319899
00:11:57 [406/474] 307950 None corp=00362441
00:12:03 [407/474] 310210 None corp=01327746
00:12:09 [408/474] 316140 None corp=01350869
00:12:15 [409/474] 319400 None corp=01358463
00:12:22 [410/474] 319660 None corp=01365825
00:12:28 [411/474] 322000 None corp=01199550
00:12:34 [412/474] 323280 None corp=01366000
00:12:44 [413/474] 323410 None corp=01133217
00:12:50 [414/474] 326030 None corp=00878696
00:12:56 [415/474] 328130 None corp=01397620
00:13:02 [416/474] 329180 None corp=01390344
00:13:08 [417/474] 336260 None corp=01412725
00:13:14 [418/474] 336370 None corp=01412822
00:13:20 [419/474] 336570 None corp=01407909
00:13:26 [420/474] 347700 None corp=01336762
00:13:32 [421/474] 347850 None corp=01376715
00:13:38 [422/474] 348210 None corp=01080252
00:13:44 [423/474] 348340 None corp=01336461
00:13:50 [424/474] 348370 None corp=01011526
00:13:56 [425/474] 352820 None corp=01204056
00:14:02 [426/474] 353200 None corp=01478712
00:14:09 [427/474] 356860 None corp=00920379
00:14:15 [428/474] 357780 None corp=01489648
00:14:21 [429/474] 358570 None corp=01351080
00:14:27 [430/474] 361610 None corp=01386916
00:14:33 [431/474] 365340 None corp=01274329
00:14:39 [432/474] 368770 None corp=01513440
00:14:45 [433/474] 372320 None corp=01492651
00:14:51 [434/474] 373220 None corp=01515323
00:14:57 [435/474] 375500 None corp=01524093
00:15:04 [436/474] 376300 None corp=01456011
00:15:09 [437/474] 376900 None corp=01335143
00:15:16 [438/474] 377300 None corp=01244601
00:15:22 [439/474] 383220 None corp=01568413
00:15:28 [440/474] 383310 None corp=01566248
00:15:34 [441/474] 383800 None corp=01562589
00:15:40 [442/474] 388720 None corp=01152586
00:15:46 [443/474] 389470 None corp=01516456
00:15:52 [444/474] 389650 None corp=01385050
00:15:58 [445/474] 397030 None corp=01375822
00:16:04 [446/474] 399720 None corp=01364747
00:16:10 [447/474] 402340 None corp=01596425
00:16:17 [448/474] 403870 None corp=01288827
00:16:23 [449/474] 417200 None corp=01528141
00:16:29 [450/474] 420770 None corp=00765569
00:16:35 [451/474] 425420 None corp=01035368
00:16:41 [452/474] 437730 None corp=00262266
00:16:47 [453/474] 440110 None corp=01292291
00:16:53 [454/474] 443060 None corp=01194689
00:17:00 [455/474] 445680 None corp=01498974
00:17:06 [456/474] 450080 None corp=01311408
00:17:12 [457/474] 454910 None corp=01105153
00:17:18 [458/474] 455900 None corp=01592049
00:17:24 [459/474] 456040 None corp=01760738
00:17:30 [460/474] 456160 None corp=01577952
00:17:36 [461/474] 457190 None corp=01762569
00:17:42 [462/474] 458870 None corp=01514227
00:17:48 [463/474] 460930 None corp=00667373
00:17:55 [464/474] 466100 None corp=01784914
00:18:01 [465/474] 475150 None corp=01817081
00:18:07 [466/474] 475830 None corp=01658831
00:18:13 [467/474] 475960 None corp=01573336
00:18:19 [468/474] 476060 None corp=01632912
00:18:25 [469/474] 476830 None corp=01596920
00:18:31 [470/474] 483650 None corp=01649204
00:18:37 [471/474] 484870 None corp=01519790
00:18:43 [472/474] 489790 None corp=01867758
00:18:50 [473/474] 499790 None corp=01882845
00:18:56 [474/474] 950160 None corp=01245062
00:19:02 [OK] saved: data\processed\fundamentals_quarterly__asof=2026-02-18__src=dart__fs=CFS__y=2016-2025__v=1.parquet rows=3144 tickers_ok=474 skipped=0 err=0
00:19:02 [CHECK] null ratios:
00:19:02   - Revenue: 0.000
00:19:02   - OpIncome: 0.002
00:19:02   - NetIncome: 0.005
00:19:02   - CFO: 0.288
00:19:02   - CAPEX: 0.036
00:19:02   - Assets: 0.003
00:19:02   - Equity: 0.003
