ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score,score_rank,OpIncome_acc2_log1p__raw,OpIncome_acc2_log1p__z,OpIncome_acc2_log1p__rank,OpIncome_acc2_log1p__mult,OpIncome_acc2_log1p__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,op_growth_streak2__raw,op_growth_streak2__z,op_growth_streak2__rank,op_growth_streak2__mult,op_growth_streak2__contrib,rev_growth_streak2__raw,rev_growth_streak2__z,rev_growth_streak2__rank,rev_growth_streak2__mult,rev_growth_streak2__contrib,score_adj,hold_bonus_applied,selection_bucket,kept_from_previous,rebalance_month_end,w,group_value,price_date,current_price
028050,137201,0,1,1,2019,00126308,삼성E&A,2019-05-31,3.495444527230125,3.495444527230125,3.0,2.3113150653094414,2.8,1.0,1.0,2.8,0.3812379862276244,2.505363611322721,6.0,1.0,0.6263409028306802,0.5667089498667752,-0.1974389268555568,83.0,1.0,0.06910362439944488,0,0.0,23.0,1.0,0.0,0,0.0,24.0,1.0,0.0,3.495444527230125,0.0,new_or_rank_fill,0.0,2019-05-31,0.1,137201,2019-05-31,16700.0
009420,032102,0,1,1,2019,00162586,한올바이오파마,2019-05-31,3.14270288117913,3.14270288117913,5.0,1.5520052204384387,2.8,1.0,1.0,2.8,-0.004342415903176633,0.14947886538637017,53.0,1.0,0.037369716346592544,0.30810732351636405,-0.8723804709501073,115.0,1.0,0.30533316483253753,0,0.0,23.0,1.0,0.0,0,0.0,24.0,1.0,0.0,3.14270288117913,0.0,new_or_rank_fill,0.0,2019-05-31,0.1,032102,2019-05-31,27450.0
000270,033001,0,1,1,2019,00106641,기아,2019-05-31,3.0037785039119567,3.0037785039119567,6.0,1.165220699200624,2.8,1.0,1.0,2.8,0.008434243113061513,0.25266259482943637,45.0,1.0,0.06316564870735909,0.6526331764900377,0.0268204137011491,68.0,1.0,-0.009387144795402183,1,1.0,1.0,1.0,0.15,0,0.0,24.0,1.0,0.0,3.0037785039119567,0.0,new_or_rank_fill,0.0,2019-05-31,0.1,033001,2019-05-31,39350.0
048410,032004,0,1,1,2019,00313649,현대바이오,2019-05-31,2.8385453410779586,2.8385453410779586,7.0,0.813545807437776,2.494095912355014,11.0,1.0,2.494095912355014,0.034189672273282734,0.460662294185958,34.0,1.0,0.1151655735464895,0.39135887251329865,-0.6550967290755859,104.0,1.0,0.22928385517645505,0,0.0,23.0,1.0,0.0,0,0.0,24.0,1.0,0.0,2.8385453410779586,0.0,new_or_rank_fill,0.0,2019-05-31,0.1,032004,2019-05-31,8222.0
114810,032902,0,1,1,2019,00625942,한솔아이원스,2019-05-31,2.6913521892329904,2.6913521892329904,8.0,0.7736290661162636,2.4406788080320707,13.0,1.0,2.4406788080320707,0.14753555428693144,1.3008308732534657,18.0,1.0,0.3252077183133664,0.7239501246348965,0.21295524889270454,59.0,1.0,-0.07453433711244659,0,0.0,23.0,1.0,0.0,0,0.0,24.0,1.0,0.0,2.6913521892329904,0.0,new_or_rank_fill,0.0,2019-05-31,0.1,032902,2019-05-31,3254.0
007340,032802,0,1,1,2019,00116949,DN오토모티브,2019-05-31,2.567405885610608,2.567405885610608,9.0,0.5590226194821537,2.0302344894029294,17.0,1.0,2.0302344894029294,0.17187368181590856,1.4580737808341815,15.0,1.0,0.36451844520854537,0.4533529986293659,-0.49329414571180896,96.0,1.0,0.17265295099913314,0,0.0,23.0,1.0,0.0,0,0.0,24.0,1.0,0.0,2.567405885610608,0.0,new_or_rank_fill,0.0,2019-05-31,0.1,032802,2019-05-31,6840.0
089010,032004,0,1,1,2019,00371485,켐트로닉스,2019-05-31,2.4969486761686532,2.4969486761686532,10.0,1.2060616487092626,2.8,1.0,1.0,2.8,0.02129657958094766,0.3565382515579521,38.0,1.0,0.08913456288948803,1.0832300940858652,1.12053110491667,19.0,1.0,-0.3921858867208345,0,0.0,23.0,1.0,0.0,0,0.0,24.0,1.0,0.0,2.4969486761686532,0.0,new_or_rank_fill,0.0,2019-05-31,0.1,032004,2019-05-31,9500.0
100840,032901,0,1,2,2019,00648721,SNT에너지,2019-08-31,3.900741021622743,3.900741021622743,1.0,1.7657016421617695,2.8,1.0,1.0,2.8,0.42840904507504407,2.3430357347464628,9.0,1.0,0.5857589336866157,0.27287059462708757,-0.8999488226746514,150.0,1.0,0.314982087936128,1,1.0,1.0,1.0,0.15,1,1.0,1.0,1.0,0.05,3.900741021622743,0.0,new_or_rank_fill,0.0,2019-08-31,0.1,032901,2019-08-30,6206.0
009420,032102,0,1,2,2019,00162586,한올바이오파마,2019-08-31,3.3416280778303,3.3416280778303,3.0,1.6811595615049508,2.8,1.0,1.0,2.8,0.02807416977549182,0.4754921058984102,47.0,1.0,0.11887302647460254,0.3738474438542217,-0.6364430038734217,132.0,1.0,0.22275505135569756,1,1.0,1.0,1.0,0.15,1,1.0,1.0,1.0,0.05,3.8416280778303,0.5,keep_current_top_n,1.0,2019-08-31,0.1,032102,2019-08-30,26600.0
041920,032701,0,1,2,2019,00273439,메디아나,2019-08-31,3.421347323459343,3.421347323459343,2.0,1.2032277869491672,2.526765073687495,14.0,1.0,2.526765073687495,0.31860830176709753,1.9432179892430657,12.0,1.0,0.4858044973107664,0.1540877610554539,-1.167936435603091,167.0,1.0,0.40877775246108183,0,0.0,82.0,1.0,0.0,0,0.0,34.0,1.0,0.0,3.421347323459343,0.0,new_or_rank_fill,0.0,2019-08-31,0.1,032701,2019-08-30,4655.0
