"Pattern","File","Line","Text"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_krx_marketdata.py","346","outp = processed_dir / f""krx_marketdata__asof={args.asof}__src={args.src}__lookback={args.lookback}d__v={args.out_v}.parquet"""
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_krx_master.py","101","""krx_marketdata__asof=*__*.parquet"","
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\collect_prices.py","41","f""krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"","
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\make_marketdata_from_prices_and_shares.py","67","outp = root / ""data/processed"" / f""krx_marketdata__asof={args.asof}__src={args.src}__lookback={args.lookback_days}d__v={args.out_v}.parquet"""
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\make_prices_daily.py","43","f""krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"","
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\run_rebalance_2025-11-30.ps1","87","& $PY .\scripts\generate_rebalance_report.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --features_live .\data\processed\features_live__asof=${ASOF}__metric=${METRIC}__v=${FACTOR_V}.parquet --execution_plan .\data\processed\execution_plan__total=100000000__v=${EXEC_V}.csv --supp_file .\data\processed\krx_marketdata__asof=${ASOF}__src=pykrx__lookback=365d__v=1.parquet --supp_file .\data\processed\latest_scores__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__featv=${FACTOR_V}__target=${TARGET}__full_universe.csv --supp_file .\data\processed\fundamentals_quarterly__asof=${ASOF}__src=dart_merged__fs=CFS__y=2015-2025__v=${FUND_V}.parquet --strategy $STRAT --asof $ASOF --target_date $TARGET --output_md .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.md --output_csv .\data\processed\rebalance_report_detail__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.csv --output_html .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.html"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\universe_panel_builder.py","87","p_market = Path(f""data/processed/krx_marketdata__asof={asof}__src=pykrx__lookback=365d__v=1.parquet"")"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\archive\universe_panel_builder.py","89","p_market = _find_latest_leq(""data/processed/krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"", asof)"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\backtest_quarterly_rebalance_v2.py","514","(Path(rf""data/processed/krx_marketdata__asof={asof}__src=pykrx__lookback=365d__v=1.parquet""), ""krx_marketdata""),"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\backtest_quarterly_rebalance_v2.py","524","(""data/processed/krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"", ""krx_marketdata""),"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\backtest\run_rebalance_2025-11-30.ps1","87","& $PY .\scripts\generate_rebalance_report.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --features_live .\data\processed\features_live__asof=${ASOF}__metric=${METRIC}__v=${FACTOR_V}.parquet --execution_plan .\data\processed\execution_plan__total=100000000__v=${EXEC_V}.csv --supp_file .\data\processed\krx_marketdata__asof=${ASOF}__src=pykrx__lookback=365d__v=1.parquet --supp_file .\data\processed\latest_scores__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__featv=${FACTOR_V}__target=${TARGET}__full_universe.csv --supp_file .\data\processed\fundamentals_quarterly__asof=${ASOF}__src=dart_merged__fs=CFS__y=2015-2025__v=${FUND_V}.parquet --strategy $STRAT --asof $ASOF --target_date $TARGET --output_md .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.md --output_csv .\data\processed\rebalance_report_detail__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.csv --output_html .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.html"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\build_universe.py","71","p = _pick_best_path(root, ""krx_marketdata__asof=*__*.parquet"", asof)"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\build_universe.py","80","p = _pick_best_path(root, ""krx_marketdata__asof=*__*.parquet"", asof)"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\collect_fundamentals_quarterly.py","323","""krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"","
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\collect_krx_marketdata.py","88","cands = list(processed_dir.glob(""krx_marketdata__asof=*.parquet""))"
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\collect_krx_marketdata.py","422","f""krx_marketdata__asof={args.asof}__src={args.src}__lookback={args.lookback}d__v={args.out_v}.parquet"""
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\collect_krx_master.py","101","""krx_marketdata__asof=*__*.parquet"","
"krx_marketdata__asof","C:\Users\chanw\ai_inv_adv\scripts\data_pipeline\make_prices_daily.py","43","f""krx_marketdata__asof=*__src=pykrx__lookback=365d__v=*.parquet"","
