month_end,rebalance_month,ret,turnover,tcost,nav_gross,nav_net,wf_window,selected_strategy,selected_k,ret_net,wf_nav_net,wf_nav_gross
2024-05-31,2024-02-29,0.1110268401587707,0.0,0.0,6.113235019373726,5.77657727960486,5,B_growth_plus_quality,10,0.1110268401587707,3.7951781951357715,3.947974137359975
2024-06-30,2024-02-29,0.1444329204423824,0.0,0.0,6.996187406572518,6.610905206259303,5,B_growth_plus_quality,10,0.1444329204423824,4.343326865458481,4.518191571849871
2024-07-31,2024-02-29,-0.0712434285745743,0.0,0.0,6.497755028778031,6.139921653383886,5,B_growth_plus_quality,10,-0.0712434285745743,4.03389336814316,4.196300113314542
2024-08-31,2024-08-31,-0.0248560617752106,1.0000000000000002,0.003,6.336246428382538,5.96888761651227,5,B_growth_plus_quality,10,-0.0278560617752106,3.921524985285552,4.091996618470672
2024-09-30,2024-08-31,-0.0250844348227773,0.0,0.0,6.177305267828721,5.819161444131385,5,B_growth_plus_quality,10,-0.0250844348227773,3.823155747386264,3.9893511959996193
2024-10-31,2024-08-31,0.0495401072235689,0.0,0.0,6.4833296331496735,6.107443326024913,5,B_growth_plus_quality,10,0.0495401072235689,4.012555293044183,4.186984082001913
2024-11-30,2024-11-30,0.1706290746747155,1.0000000000000002,0.003,7.589574169265166,7.131228399394737,5,B_growth_plus_quality,10,0.1676290746747155,4.685176223898311,4.901405301591661
2024-12-31,2024-11-30,-0.0340312991203006,0.0,0.0,7.3312911005151955,6.888543432639752,5,B_growth_plus_quality,10,-0.0340312991203006,4.525733590391507,4.734604111663368
2025-01-31,2024-11-30,0.139865771559164,0.0,0.0,8.356687786813586,7.852014874764723,5,B_growth_plus_quality,10,0.139865771559164,5.158728810882841,5.396813168768356
2025-02-28,2025-02-28,0.0631325287565383,0.9000000000000001,0.0027,8.884266618824007,8.32653198948071,6,B_growth_plus_quality,10,0.0604325287565383,5.470483838093701,5.7375276313392884
2025-03-31,2025-02-28,-0.1031371365959323,0.0,0.0,7.967968799003674,7.467757322311237,6,B_growth_plus_quality,10,-0.1031371365959323,4.906273799238391,5.145775460302913
2025-04-30,2025-02-28,0.0319120467951757,0.0,0.0,8.222242992179979,7.706068743435849,6,B_growth_plus_quality,10,0.0319120467951757,5.06284303830963,5.309987687589566
2025-05-31,2025-02-28,0.0823657560988904,0.0,0.0,8.899474253059685,8.340784922038969,6,B_growth_plus_quality,10,0.0823657560988904,5.4798479331700065,5.7473488383536795
2025-06-30,2025-02-28,0.0914650694876702,0.0,0.0,9.71346528401952,9.103675394514974,6,B_growth_plus_quality,10,0.0914650694876702,5.981062605159267,6.273030499223579
2025-07-31,2025-02-28,0.0805386550370137,0.0,0.0,10.495774713743176,9.836873166682766,6,B_growth_plus_quality,10,0.0805386550370137,6.462769343070972,6.778251938637213
2025-08-31,2025-08-31,0.096370299525944,0.9000000000000001,0.0027,11.507255666663436,10.75829602260466,6,B_growth_plus_quality,10,0.09367029952594401,7.068138883203519,7.431474108225991
2025-09-30,2025-08-31,0.1325705615214265,0.0,0.0,13.032779011963626,12.18452936733509,6,B_growth_plus_quality,10,0.1325705615214265,8.005166023861237,8.416668803685454
2025-10-31,2025-08-31,0.1033368857022025,0.0,0.0,14.379545807104977,13.443640685902526,6,B_growth_plus_quality,10,0.1033368857022025,8.832394950296141,9.28642114584519
2025-11-30,2025-11-30,0.0548084555470179,0.9000000000000001,0.0027,15.167666504259998,14.144168038973962,6,B_growth_plus_quality,10,0.0521084555470179,9.292637409937353,9.795395546408134
2025-12-31,2025-11-30,0.0330706722072549,0.0,0.0,15.66927143137134,14.611925183835202,6,B_growth_plus_quality,10,0.0330706722072549,9.599951175662264,10.119335861663801
2026-01-31,2025-11-30,0.3769657791840968,0.0,0.0,21.576050545745343,20.12012094613937,6,B_growth_plus_quality,10,0.3769657791840968,13.218804250725075,13.93397918958147
