ticker,name,industry4,group_value,year,quarter,rebalance_month,rebalance_month_end,hold_start_month,hold_end_month,w,score,score_adj,hold_bonus_applied,score_rank,current_price,price_date,CFO_isnull,CFO_warn,OpIncome_acc2_log1p__raw,OpIncome_acc2_log1p__contrib,Revenue_acc2__raw,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__contrib,op_growth_streak2__raw,op_growth_streak2__contrib,rev_growth_streak2__raw,rev_growth_streak2__contrib,stock_forward_ret_to_next_rebalance,portfolio_gross_ret_to_next_rebalance,portfolio_net_ret_to_next_rebalance,corp_code,score_total,OpIncome_acc2_log1p__z,OpIncome_acc2_log1p__rank,OpIncome_acc2_log1p__mult,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,op_growth_streak2__z,op_growth_streak2__rank,op_growth_streak2__mult,rev_growth_streak2__z,rev_growth_streak2__rank,rev_growth_streak2__mult,selection_bucket,kept_from_previous
006120,SK디스커버리,116409,116409,2019,3,2019-11-30,2019-11-30,2019-11-30,2020-02-29,0.1,3.113675632334988,3.113675632334988,0.0,4.0,26450.0,2019-11-29,1,0,2.3191762906631133,2.8,0.1418579624418319,0.2710872249872322,0.7508653993321813,-0.10741159265224343,1,0.15,0,0.0,-0.03786191536748329,0.2279048152331835,0.22582384763198893,00131832,3.113675632334988,2.8,1.0,1.0,1.0843488999489288,19.0,1.0,0.3068902647206955,52.0,1.0,1.0,1.0,1.0,0.0,75.0,1.0,new_or_rank_fill,0.0
089010,켐트로닉스,032004,032004,2019,3,2019-11-30,2019-11-30,2019-11-30,2020-02-29,0.1,2.4880887522592303,2.9880887522592303,0.5,10.0,16050.0,2019-11-29,1,0,1.9364417101732667,2.8,-0.04935441039918431,-0.05371699527081347,1.143288715304726,-0.40819425246995616,1,0.15,0,0.0,0.06315789473684208,0.2279048152331835,0.22582384763198893,00371485,2.4880887522592303,2.8,1.0,1.0,-0.2148679810832539,76.0,1.0,1.1662692927713034,16.0,1.0,1.0,1.0,1.0,0.0,75.0,1.0,keep_current_top_n,1.0
096530,씨젠,032103,032103,2019,3,2019-11-30,2019-11-30,2019-11-30,2020-02-29,0.1,2.925457688723172,2.925457688723172,0.0,5.0,14147.0,2019-11-29,1,0,1.1687450425719055,2.307063449698121,0.12471262440606234,0.246762279894969,0.2169293947721236,0.32163195913008247,0,0.0,1,0.05,0.7177638355651279,0.2279048152331835,0.22582384763198893,00788773,2.925457688723172,2.307063449698121,11.0,1.0,0.987049119579876,23.0,1.0,-0.9189484546573785,110.0,1.0,0.0,73.0,1.0,1.0,1.0,1.0,new_or_rank_fill,0.0
034230,파라다이스,189102,189102,2019,3,2019-11-30,2019-11-30,2019-11-30,2020-02-29,0.1,2.8052997337346977,2.8052997337346977,0.0,6.0,18800.0,2019-11-29,1,0,1.426142113473435,2.567369946009371,0.051426947769089404,0.12025454096238274,0.7196453361270805,-0.08232475323705558,1,0.15,1,0.05,-0.12064343163538871,0.2279048152331835,0.22582384763198893,00171265,2.8052997337346977,2.567369946009371,10.0,1.0,0.48101816384953094,35.0,1.0,0.23521358067730166,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,new_or_rank_fill,0.0
101490,에스앤에스텍,032602,032602,2019,3,2019-11-30,2019-11-30,2019-11-30,2020-02-29,0.1,2.230282127412025,2.730282127412025,0.5,12.0,8990.0,2019-11-29,1,0,0.6145451241023884,1.4885569452415877,0.24269639040431978,0.41034326632521934,0.4536917177505509,0.13138191584521788,1,0.15,1,0.05,0.8078512396694213,0.2279048152331835,0.22582384763198893,00411048,2.230282127412025,1.4885569452415877,17.0,1.0,1.6413730653008773,12.0,1.0,-0.37537690241490823,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,new_or_rank_fill,1.0
083450,GST,032902,032902,2019,3,2019-11-30,2019-11-30,2019-11-30,2020-02-29,0.1,2.7095241079882335,2.7095241079882335,0.0,7.0,4395.0,2019-11-29,1,0,0.7534691679686756,1.7361054031189913,0.3386352522576066,0.5196248217526098,0.3013525054637849,0.2537938831166328,1,0.15,1,0.05,0.6972566156834183,0.2279048152331835,0.22582384763198893,00540863,2.7095241079882335,1.7361054031189913,13.0,1.0,2.0784992870104393,8.0,1.0,-0.7251253803332366,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,new_or_rank_fill,0.0
005850,에스엘,033003,033003,2019,4,2020-03-31,2020-03-31,2020-03-31,2020-04-30,0.1,3.3089218164529433,3.3089218164529433,0.0,1.0,10522.0,2020-03-31,1,0,2.3469110564724907,2.8,0.34176916769648735,0.4910076064359873,0.5002220347357524,0.01791421001695624,0,0.0,0,0.0,-0.11666806055030521,0.3299112374730624,0.3272470816420785,00125521,3.3089218164529433,2.8,1.0,1.0,1.9640304257439491,8.0,1.0,-0.05118345719130354,61.0,1.0,0.0,39.0,1.0,0.0,37.0,1.0,new_or_rank_fill,0.0
033100,제룡전기,032801,032801,2019,4,2020-03-31,2020-03-31,2020-03-31,2020-04-30,0.1,3.1844175783679316,3.1844175783679316,0.0,2.0,4680.0,2020-03-31,1,0,1.6845670830830957,2.4055777799829867,0.1724107792752777,0.2763880132127755,0.13709530447577142,0.30245178517216975,1,0.15,1,0.05,0.17547568710359407,0.3299112374730624,0.3272470816420785,00185356,3.1844175783679316,2.4055777799829867,6.0,1.0,1.105552052851102,18.0,1.0,-0.8641479576347707,102.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,new_or_rank_fill,0.0
009540,HD한국조선해양,116409,116409,2019,4,2020-03-31,2020-03-31,2020-03-31,2020-04-30,0.1,3.1492335162530822,3.1492335162530822,0.0,3.0,78600.0,2020-03-31,1,0,3.5869080228446846,2.8,0.3090664965084199,0.4579461200204621,0.6618231196809051,-0.10871260376737976,0,0.0,0,0.0,-0.20480769230769236,0.3299112374730624,0.3272470816420785,00164830,3.1492335162530822,2.8,1.0,1.0,1.8317844800818484,9.0,1.0,0.31060743933537077,50.0,1.0,0.0,39.0,1.0,0.0,37.0,1.0,new_or_rank_fill,0.0
068760,셀트리온제약,032102,032102,2019,4,2020-03-31,2020-03-31,2020-03-31,2020-04-30,0.1,2.5664176507247873,3.0664176507247873,0.5,7.0,64648.0,2020-03-31,1,0,1.5510839915582193,2.252603731143031,0.10021026036998326,0.161330505928047,0.5199148103757951,0.0024834136537094753,1,0.15,0,0.0,0.7695310079920699,0.3299112374730624,0.3272470816420785,00541349,2.5664176507247873,2.252603731143031,8.0,1.0,0.645322023712188,28.0,1.0,-0.007095467582027073,58.0,1.0,1.0,1.0,1.0,0.0,37.0,1.0,keep_current_top_n,1.0
005690,파미셀,032101,032101,2019,4,2020-03-31,2020-03-31,2020-03-31,2020-04-30,0.1,3.0454574035829283,3.0454574035829283,0.0,4.0,20600.0,2020-03-31,1,0,2.152390301536937,2.769516605630063,0.020490680507589287,0.027006727934767695,0.20539458939194566,0.2489340700180976,0,0.0,0,0.0,1.454780361757106,0.3299112374730624,0.3272470816420785,00145163,3.0454574035829283,2.769516605630063,5.0,1.0,0.10802691173907078,48.0,1.0,-0.7112402000517074,93.0,1.0,0.0,39.0,1.0,0.0,37.0,1.0,new_or_rank_fill,0.0
038500,삼표시멘트,032309,032309,2019,4,2020-03-31,2020-03-31,2020-03-31,2020-04-30,0.1,2.901725353413936,2.901725353413936,0.0,5.0,2500.0,2020-03-31,1,0,4.181715904934925,2.8,0.17571239038507735,0.28083846193313644,0.7516682133745437,-0.17911310851920043,0,0.0,0,0.0,0.14729950900163646,0.3299112374730624,0.3272470816420785,00239639,2.901725353413936,2.8,1.0,1.0,1.1233538477325458,16.0,1.0,0.511751738626287,39.0,1.0,0.0,39.0,1.0,0.0,37.0,1.0,new_or_rank_fill,0.0
017960,한국카본,032501,032501,2019,4,2020-03-31,2020-03-31,2020-03-31,2020-04-30,0.1,2.822626221445648,2.822626221445648,0.0,6.0,5560.0,2020-03-31,1,0,1.3427343945181993,2.00947821488052,0.2577493167383407,0.3914211810267173,0.24011646302112535,0.22172682553841094,1,0.15,1,0.05,-0.15356265356265353,0.3299112374730624,0.3272470816420785,00159795,2.822626221445648,2.00947821488052,11.0,1.0,1.5656847241068692,12.0,1.0,-0.6335052158240313,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,new_or_rank_fill,0.0
