ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,score,score_adj,rebalance_month_end,w,group_value,price_date,current_price
145020,211,0,1,3,2016,00888347,휴젤,2016-11-30,0.4966293531976179,7.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.07998311902593205,-1.4189410091360513,282.0,1.0,0.4966293531976179,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.4966293531976179,0.4966293531976179,2016-11-30,0.1,211,2016-11-30,94563
213420,262,0,1,3,2016,01061558,덕산네오룩스,2016-11-30,0.49576954281802976,8.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.08097681698947402,-1.4164844080515138,281.0,1.0,0.49576954281802976,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.49576954281802976,0.49576954281802976,2016-11-30,0.1,262,2016-11-30,14880
023160,2413,0,1,3,2016,00153375,태광,2016-11-30,0.4892139994031548,9.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.08855317370244227,-1.3977542840090138,280.0,1.0,0.4892139994031548,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.4892139994031548,0.4892139994031548,2016-11-30,0.1,2413,2016-11-30,8160
026960,4632,0,1,3,2016,00144395,동서,2016-11-30,0.4796221789766662,10.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.09963860910859303,-1.370349082790475,279.0,1.0,0.4796221789766662,,0.0,1.0,0.30000000000000004,0.0,1,0.0,1.0,0.30000000000000004,-0.0,0.4796221789766662,0.4796221789766662,2016-11-30,0.1,4632,2016-11-30,26600
058470,2629,0,0,4,2016,00369657,리노공업,2017-03-31,0.6612806007351308,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.07568722203657165,-1.383352139269242,291.0,1.0,0.4841732487442347,0.19181721933829438,1.6702284681937742,5.0,1.0,0.16702284681937743,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.6612806007351308,0.6612806007351308,2017-03-31,0.1,2629,2017-03-31,8379
145020,211,0,0,4,2016,00888347,휴젤,2017-03-31,0.6156831626412739,2.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.07170087624479107,-1.3924807342268832,293.0,1.0,0.4873682569794091,0.15338123895658587,1.1823040049034605,31.0,1.0,0.11823040049034605,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.6156831626412739,0.6156831626412739,2017-03-31,0.1,211,2017-03-31,125868
084370,29271,0,0,4,2016,00531014,유진테크,2017-03-31,0.6101610295863152,3.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.12390790950079807,-1.2729284210490255,284.0,1.0,0.44552494736715886,0.1819930453862625,1.5455157704763767,12.0,1.0,0.15455157704763767,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.6101610295863152,0.6101610295863152,2017-03-31,0.1,29271,2017-03-31,16300
031980,29271,0,0,4,2016,00208444,피에스케이홀딩스,2017-03-31,0.5455024613848211,4.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.16868246949444546,-1.17039621638395,278.0,1.0,0.4096386757343825,0.1593278275163822,1.2577928047891984,26.0,1.0,0.12577928047891984,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.5455024613848211,0.5455024613848211,2017-03-31,0.1,29271,2017-03-31,11018
237690,212,0,0,4,2016,00871833,에스티팜,2017-03-31,0.5250729254195462,5.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.1604963862317764,-1.189142065915747,279.0,1.0,0.41619972307051145,0.13806614444216486,0.9878869717751608,41.0,1.0,0.0987886971775161,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.5250729254195462,0.5250729254195462,2017-03-31,0.1,212,2017-03-31,40800
023160,2413,0,0,4,2016,00153375,태광,2017-03-31,0.5220339697433521,6.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.086727094520425,-1.3580712104303794,287.0,1.0,0.4753249236506327,0.08909667334410373,0.3662454092120067,100.0,1.0,0.036624540921200675,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.5220339697433521,0.5220339697433521,2017-03-31,0.1,2413,2017-03-31,9400
