ticker,name,industry4,group_value,year,quarter,rebalance_month,rebalance_month_end,hold_start_month,hold_end_month,w,score,score_adj,score_rank,current_price,price_date,CFO_isnull,CFO_warn,OpIncome_acc2__raw,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__contrib,stock_forward_ret_to_next_rebalance,portfolio_gross_ret_to_next_rebalance,portfolio_net_ret_to_next_rebalance,corp_code,score_total,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult
075580,세진중공업,31114,31114,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,4.9562348676441506,4.9562348676441506,2.0,3341,2019-05-31,0,0,18.07830482211624,4.751444200399394,0.6346110231581072,0.482573815488452,0.9483672835287458,-0.23795256981166055,0.004790686105863091,-0.06369923088064626,0,0.023868652448610705,-0.1410115448048379,-0.11331784241200171,-0.11622327497388907,00415628,4.9562348676441506,4.751444200399394,1.0,1.0,1.930295261953808,11.0,1.0,0.679864485176173,71.0,1.0,-0.6369923088064626,268.0,1.0,-0.23868652448610703,19.0,1.0
131290,티에스이,27212,27212,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,4.843098018955662,4.843098018955662,3.0,8220,2019-05-31,0,0,18.07830482211624,4.751444200399394,-0.548011543643216,-0.3612319995452624,0.23343086870361535,0.36748051724227954,0.10188560417276794,0.061536648410639695,0,0.023868652448610705,-0.24947807933194155,-0.11331784241200171,-0.11622327497388907,00372226,4.843098018955662,4.751444200399394,1.0,1.0,-1.4449279981810497,313.0,1.0,-1.0499443349779416,291.0,1.0,0.6153664841063969,68.0,1.0,-0.23868652448610703,19.0,1.0
003620,KG모빌리티,301,301,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,4.493664474463788,4.493664474463788,4.0,20591,2019-05-31,0,0,18.07830482211624,4.751444200399394,0.11430431414290021,0.11133294879708995,1.2391505123356936,-0.48419794804318267,0.12489637799963617,0.0912166208618757,0,0.023868652448610705,-0.3693260229010481,-0.11331784241200171,-0.11622327497388907,00138242,4.493664474463788,4.751444200399394,1.0,1.0,0.4453317951883598,56.0,1.0,1.3834227086948077,33.0,1.0,0.9121662086187569,48.0,1.0,-0.23868652448610703,19.0,1.0
003570,SNT다이내믹스,303,303,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,3.8959926986326274,3.8959926986326274,5.0,6950,2019-05-31,0,0,13.330746346861847,3.5188365380501034,0.11410398879164518,0.11119001587746466,0.31406129791905135,0.2991998580701966,0.009905211406388923,-0.05710236581374835,0,0.023868652448610705,-0.13671875,-0.11331784241200171,-0.11622327497388907,00134477,3.8959926986326274,3.5188365380501034,5.0,1.0,0.44476006350985864,57.0,1.0,-0.8548567373434189,262.0,1.0,-0.5710236581374835,260.0,1.0,-0.23868652448610703,19.0,1.0
060280,큐렉소,47812,47812,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,3.3444091136533998,3.3444091136533998,6.0,6790,2019-05-31,0,1,10.895717299742813,2.8866304310234416,0.113124934341575,0.11049145670787404,0.06626085146275928,0.5090459173285898,-0.17334701312782946,-0.17607988287567222,0,0.014321191469166421,-0.1184210526315791,-0.11331784241200171,-0.11622327497388907,00356802,3.3444091136533998,2.8866304310234416,7.0,1.0,0.44196582683149616,58.0,1.0,-1.4544169066531139,330.0,1.0,-2.934664714594537,328.0,0.6,-0.23868652448610703,19.0,0.6
052690,한전기술,72129,72129,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,3.218576651788833,3.218576651788833,7.0,21400,2019-05-31,0,0,11.313801408128946,2.9951775249011225,-0.05718120806958804,-0.011022640297042403,0.46718848745717767,0.16952641417849396,0.08598431679719959,0.04102670055764792,0,0.023868652448610705,-0.17324561403508765,-0.11331784241200171,-0.11622327497388907,00159209,3.218576651788833,2.9951775249011225,6.0,1.0,-0.04409056118816961,226.0,1.0,-0.48436118336712564,205.0,1.0,0.41026700557647916,97.0,1.0,-0.23868652448610703,19.0,1.0
028050,삼성E&A,72129,72129,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,2.9129531733725633,2.9129531733725633,8.0,16700,2019-05-31,0,0,9.087681896548611,2.417210559021434,0.3812379862276244,0.3017911651852714,0.5667089498667752,0.08524901617182536,0.11994778530345852,0.08483378054542164,0,0.023868652448610705,-0.035190615835777206,-0.11331784241200171,-0.11622327497388907,00126308,2.9129531733725633,2.417210559021434,9.0,1.0,1.2071646607410855,20.0,1.0,-0.24356861763378673,179.0,1.0,0.8483378054542163,50.0,1.0,-0.23868652448610703,19.0,1.0
033500,동성화인텍,201,201,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,2.2078358014758215,2.2078358014758215,9.0,9200,2019-05-31,0,0,9.405367565790888,2.4996912261196123,,0.014760383651772905,0.9983945099059016,-0.28031736963749687,0.015282104460241999,-0.05016709110667773,0,0.023868652448610705,-0.1386554621848739,-0.11331784241200171,-0.11622327497388907,00231105,2.2078358014758215,2.4996912261196123,8.0,1.0,0.05904153460709162,136.0,1.0,0.8009067703928483,61.0,1.0,-0.5016709110667773,255.0,1.0,-0.23868652448610703,19.0,1.0
100840,SNT에너지,29176,29176,2019,1,2019-05-31,2019-05-31,2019-05-31,2019-07-31,0.1,2.0943465521324995,2.0943465521324995,10.0,4573,2019-05-31,0,1,6.1802963393340535,1.6623666252593963,0.10914059931773756,0.10764861812476646,0.24006208088605024,0.361864975525184,-0.012828336204823269,-0.05185485824601382,0,0.014321191469166421,0.3103885135135134,-0.11331784241200171,-0.11622327497388907,00648721,2.0943465521324995,1.6623666252593963,11.0,1.0,0.43059447249906585,61.0,1.0,-1.0338999300719542,283.0,1.0,-0.8642476374335636,290.0,0.6,-0.23868652448610703,19.0,0.6
041960,코미팜,21230,21230,2019,2,2019-08-31,2019-08-31,2019-08-31,2019-10-31,0.1,6.141139707398006,6.141139707398006,1.0,11003,2019-08-30,0,0,28.203398067934497,6.01100849569265,-0.11285887712130149,-0.05108544629944457,0.40872105542591586,0.2101567072560889,0.01651214592619572,-0.05338560607886858,0,0.024445556827580858,-0.2727220794058842,0.039449681086549004,0.03651594835113836,00187415,6.141139707398006,6.01100849569265,1.0,1.0,-0.2043417851977783,243.0,1.0,-0.6004477350173969,229.0,1.0,-0.5338560607886857,259.0,1.0,-0.24445556827580858,20.0,1.0
009420,한올바이오파마,212,212,2019,2,2019-08-31,2019-08-31,2019-08-31,2019-10-31,0.1,6.064501558895109,6.064501558895109,2.0,26600,2019-08-30,0,0,26.48387517009056,5.643508597281846,0.10917042288115142,0.14707207273680561,0.3738474438542217,0.23839651521900873,0.0644856207900144,0.011078816829868209,0,0.024445556827580858,0.2547169811320755,0.039449681086549004,0.03651594835113836,00162586,6.064501558895109,5.643508597281846,4.0,1.0,0.5882882909472225,43.0,1.0,-0.6811329006257393,241.0,1.0,0.11078816829868209,143.0,1.0,-0.24445556827580858,20.0,1.0
090710,휴림로봇,29280,29280,2019,2,2019-08-31,2019-08-31,2019-08-31,2019-10-31,0.1,5.800426223079499,5.800426223079499,3.0,2162,2019-08-30,0,1,28.203398067934497,6.01100849569265,-0.5079205074543285,-0.4036714902690646,0.2915132146322847,0.3050687845141607,-0.10084033822806954,-0.1266469009547958,0,0.014667334096548515,-0.005714285714285783,0.039449681086549004,0.03651594835113836,00540429,5.800426223079499,6.01100849569265,1.0,1.0,-1.6146859610762585,310.0,1.0,-0.8716250986118877,263.0,1.0,-2.11078168257993,327.0,0.6,-0.24445556827580858,20.0,0.6
003620,KG모빌리티,301,301,2019,2,2019-08-31,2019-08-31,2019-08-31,2019-10-31,0.1,5.737343241453973,5.737343241453973,4.0,15589,2019-08-30,0,0,28.203398067934497,6.01100849569265,0.05617542518980534,0.09977490401297984,1.3121855167632395,-0.5214469821707173,0.1481934049717734,0.12356126709148028,0,0.024445556827580858,-0.3122597433319534,0.039449681086549004,0.03651594835113836,00138242,5.737343241453973,6.01100849569265,1.0,1.0,0.39909961605191935,59.0,1.0,1.4898485204877636,28.0,1.0,1.2356126709148028,30.0,1.0,-0.24445556827580858,20.0,1.0
124500,아이티센글로벌,62021,62021,2019,2,2019-08-31,2019-08-31,2019-08-31,2019-10-31,0.1,5.108392515711662,5.108392515711662,5.0,4460,2019-08-30,0,0,18.903602847662263,4.023437522967221,1.3616375221011079,1.2648784751044826,0.8360621011951117,-0.1358937453156391,0.005282622331907449,-0.06847529387198281,0,0.024445556827580858,0.0630952380952381,0.039449681086549004,0.03651594835113836,00620868,5.108392515711662,4.023437522967221,6.0,1.0,5.05951390041793,1.0,1.0,0.3882678437589689,102.0,1.0,-0.6847529387198281,277.0,1.0,-0.24445556827580858,20.0,1.0
082740,한화엔진,29111,29111,2019,2,2019-08-31,2019-08-31,2019-08-31,2019-10-31,0.1,3.822065512006735,3.822065512006735,6.0,2605,2019-08-30,0,0,20.65381368029761,4.397496108635067,-0.036800164077557374,0.01679571117694214,1.3779433407080568,-0.5746960790256123,0.025003166413126207,-0.04197578560724255,0,0.024445556827580858,0.27213382292941635,0.039449681086549004,0.03651594835113836,00361008,3.822065512006735,4.397496108635067,5.0,1.0,0.06718284470776856,202.0,1.0,1.6419887972160352,20.0,1.0,-0.4197578560724255,248.0,1.0,-0.24445556827580858,20.0,1.0
